compresa,genere,funzione,a,b,r2,n
Capistrano,Abete,ln,7.0306,-4.2563,0.6312,48
Capistrano,Douglas,ln,15.7207,-30.6302,0.9155,19
Capistrano,Pino Marittimo,ln,2.2676,19.4322,0.0176,18
Capistrano,Pino Nero,ln,8.5171,-6.9512,0.3102,25
Fabrizia,Abete,ln,13.7385,-27.6112,0.9198,43
Fabrizia,Douglas,ln,12.4789,-14.3502,0.6936,17
Fabrizia,Faggio,ln,8.7627,-7.0286,0.5139,59
Fabrizia,Pino Nero,ln,7.2577,-1.3835,0.3241,51
Serra,Abete,ln,10.1673,-10.3162,0.6026,143
Serra,Castagno,ln,5.9628,2.5525,0.4543,14
Serra,Douglas,ln,5.2687,7.6889,0.0758,14
Serra,Faggio,ln,9.1843,-8.6181,0.7956,26
Serra,Pino Nero,ln,8.2231,-3.1160,0.3950,18
