Compresa,Particella,Comparto,Età (anni),Area (ha),Vol tot (m³),Vol/ha (m³/ha),Prelievo \%,Prelievo (m³)
Capistrano,1,C,70,19.00,8405.23,442.38,20,1681.05
Capistrano,2,C,70,17.90,5628.61,314.45,10,562.86
Capistrano,3,D,61,20.60,6245.80,303.19,10,624.58
Capistrano,4a,C,67,6.70,2107.11,314.49,10,210.71
Capistrano,5a,C,67,11.33,4761.74,420.28,20,952.35
Capistrano,6a,B,62,13.86,5768.80,416.22,0,0.00
Capistrano,7a,C,66,1.20,316.43,263.69,0,0.00
Capistrano,8a,C,63,3.00,715.76,238.59,0,0.00
Capistrano,9a,D,49,3.00,459.00,153.00,0,0.00
Capistrano,12a,D,69,16.75,4966.91,296.53,0,0.00
Capistrano,12b,A,30,4.30,941.72,219.00,0,0.00
Capistrano,13,B,30,13.00,3225.03,248.08,0,0.00
Capistrano,14a,C,18,6.00,54.84,9.14,0,0.00
Capistrano,15,C,18,21.16,5261.31,248.64,0,0.00
Capistrano,16a,D,35,11.40,1953.12,171.33,0,0.00
Capistrano,16b,A,18,7.00,1598.29,228.33,0,0.00
Capistrano,16c,C,72,0.50,192.62,385.24,15,28.89
Capistrano,17b,A,25,3.65,1123.61,307.84,0,0.00
Fabrizia,1,E,72,22.49,6890.52,306.38,0,0.00
Fabrizia,2,E,62,30.39,12899.71,424.47,10,1289.97
Fabrizia,3,E,67,32.47,26759.70,824.14,25,6689.92
Fabrizia,4,E,62,27.10,13575.51,500.94,15,2036.33
Fabrizia,5a,E,69,25.19,14446.62,573.51,20,2889.32
Fabrizia,6,E,61,11.52,6996.38,607.32,20,1399.28
Fabrizia,7a,E,68,12.57,6108.65,485.97,10,610.87
Fabrizia,8,B,71,14.17,9975.33,703.98,25,2493.83
Fabrizia,9a,B,80,14.41,6275.80,435.52,10,627.58
Fabrizia,10a,A,27,7.44,4649.21,624.89,15,697.38
Fabrizia,11a,D,65,26.19,12765.70,487.43,25,3191.43
Fabrizia,11c,A,35,10.78,3638.96,337.57,0,0.00
Fabrizia,12a,D,66,19.04,10886.82,571.79,25,2721.70
Fabrizia,13a,D,68,12.10,4639.93,383.47,15,695.99
Fabrizia,14a,B,67,27.42,12126.58,442.25,10,1212.66
Serra,1,A,61,7.47,4707.83,630.23,25,1176.96
Serra,2a,B,58,2.95,3003.47,1018.13,20,600.69
Serra,3,B,78,18.90,8791.21,465.14,10,879.12
Serra,4,A,88,14.10,18219.88,1292.19,25,4554.97
Serra,5,B,70,21.60,12221.11,565.79,20,2444.22
Serra,6,B,73,10.10,8764.66,867.79,25,2191.16
Serra,7,B,63,22.84,16809.67,735.97,25,4202.42
Serra,8,B,85,35.90,30975.75,862.83,25,7743.94
Serra,9,B,85,31.94,25600.24,801.51,25,6400.06
Serra,10b,A,93,32.22,31577.14,980.05,25,7894.29
Serra,11,A,84,36.37,33125.94,910.80,25,8281.48
Serra,12,A,87,44.60,32963.35,739.09,25,8240.84
Serra,13,B,87,21.38,19447.74,909.62,25,4861.93
Serra,14,E,73,30.35,25779.21,849.40,25,6444.80
Serra,15,A,82,23.00,18152.92,789.26,25,4538.23
Serra,16,B,88,35.30,32815.46,929.62,25,8203.86
Serra,17,B,97,34.00,31032.52,912.72,25,7758.13
Serra,18,B,88,24.10,20616.83,855.47,25,5154.21
Serra,19,B,77,37.00,30669.03,828.89,25,7667.26
Serra,20,B,90,13.60,8912.28,655.31,25,2228.07
Serra,21,B,98,21.00,14825.47,705.97,25,3706.37
Serra,22,B,83,26.70,20278.11,759.48,25,5069.53
Serra,23,A,83,36.50,31883.58,873.52,25,7970.89
Serra,24,A,81,50.80,48255.27,949.91,25,12063.82
Serra,25,B,88,44.65,36511.06,817.72,25,9127.77
Serra,26,A,88,19.35,19373.26,1001.20,25,4843.31
Serra,27,A,89,33.60,34312.46,1021.20,25,8578.12
Serra,28,A,80,17.45,17987.85,1030.82,25,4496.96
Serra,29,A,75,10.02,9639.73,962.05,25,2409.93

